id,display name,username,weight,num_tweets,engagement
2207129125,,Cointelegraph,0.5872499017,1,49828
1729862200217698304,,taofuxyz,0.5788733063,2,9610
1211632456308125698,,polkaguy,0.5715069363,1,47448
1201551918692212736,,philism_,0.5421575508,1,43011
1520074037996789761,,CryptoFuegoYT,0.5386980672,1,42488
14204685,,synapz_org,0.5374015877,1,42292
1059475475876245507,,TheEuroSniper,0.5283989928,1,40931
502188770,,officialneeve,0.518900296,1,39495
555634740,,Phyrex_Ni,0.5138400571,1,38730
1217924547619491840,,Ebubechi_GMI,0.50906425,1,38008
944961548375773184,,SatoshiFlipper,0.5051351233,1,37414
782946231551131648,,MartiniGuyYT,0.4906820227,1,35229
1387796428257431557,,dippy_eth,0.4860318947,1,34526
1485245285924282369,,belizardd,0.4834124769,1,34130
1394325543110250499,,m2globalmoney,0.4824004291,1,33977
988992203568562176,,LunarCrush,0.4728818883,1,32538
1166086993404682240,,EvanMalanga,0.4690255232,1,31955
1648650821385564160,,proofoftalk,0.4648119648,1,31318
1958240244,,KakiKripto,0.4647855061,1,31314
1177443218,,Old_Samster,0.4630590716,1,31053
1408065757741682698,,TAOSynergies,0.4543276791,1,29733
3254294922,,BTCmask_AI,0.4491153023,1,28945
788680540727578624,,RahulKumaran4,0.4482884659,1,28820
23140469,,DavFields,0.4453581576,1,28377
1518463429387894790,,chiefingza,0.4403706803,1,27623
1408257733837484034,,TCVNcommunity,0.4295292012,1,25984
1615935096556785664,,Hercules_Defi,0.4284443918,1,25820
22051804,,boz_menzalji,0.4121193336,1,23352
17486417,,markcreaser,0.4116496905,1,23281
1424428829456486401,,Vagospi06,0.3964292857,1,20980
1488668457906409475,,allan_quantifi,0.3828294803,1,18924
138182116,,trish_regan,0.3788011333,1,18315
3951601093,,0xarrash,0.3747264834,1,17699
1797824936075042816,,Lazz_eth,0.3746338777,1,17685
1642309929024344064,,Crypto_Blueboy,0.3718953955,1,17271
929796993614000128,,Vayu108,0.3703740165,1,17041
1907914425090322436,,Investing88ai,0.3693222806,1,16882
1662165153855717376,,ridges_ai,0.3583154341,1,15218
1913484815179153408,,Maximize_AI,0.3544127663,1,14628
1517511758776344576,,ProfFahdKhan,0.3527987816,1,14384
1662291542479081472,,plexaibt_,0.3527789375,1,14381
1770494248032370688,,dippy_ai,0.3507019244,1,14067
1371681458998362113,,BatTecking,0.3505960893,1,14051
1466627762660257796,,princeharry_za,0.3483735531,1,13715
1908812773955403776,,dTAOfordummies,0.3454697036,1,13276
1460671846055960576,,Cryptoo_Gems,0.3396620045,1,12398
1335203970411884546,,pedro_silvapt,0.3380281758,1,12151
1752044783579840512,,zeus_decrypt,0.3375254592,1,12075
1655175481279258624,,NadinNumberOne_,0.3365994025,1,11935
1645508869,,YVR_Trader,0.3351772438,1,11720
787984877920452608,,GenomesDAO,0.3342247283,1,11576
1232606202774917125,,v_truba,0.3319625038,1,11234
956821015,,benzion_b,0.3309438414,1,11080
1355277334534909952,,chain_broker,0.3305469599,1,11020
1648393856667271168,,Pritensor,0.3289660486,1,10781
943911776625811456,,Simulacra333,0.3274711284,1,10555
1043413955312533504,,BGameAlliance,0.3268890356,1,10467
1501638114887888897,,Suleman72514927,0.3264590806,1,10402
185600751,,ustadsplinter34,0.3263664749,1,10388
1296619172198264835,,InvestingNate,0.3223910454,1,9787
881945617039212544,,NeuralAl,0.3218420261,1,9704
1791019966726369280,,0xbeinginvested,0.3214914474,1,9651
1083147769,,Robin25461631,0.3202875736,1,9469
1511091239701123073,,CryptoHub210,0.3176879999,1,9076
1532732772850323456,,RyanBequette,0.3157102072,1,8777
1861674812688547840,,metanova_labs,0.3145394068,1,8600
1472846372575535107,,Senti__23,0.3140499197,1,8526
1816361185488560129,,Presto_Research,0.3111725289,1,8091
188371200,,qqquint,0.3102530868,1,7952
2206252293,,shafaq39,0.3089301485,1,7752
1091791346581553153,,BabblerBestBets,0.3085861846,1,7700
913274240,,rick_shares,0.3082157619,1,7644
1684725442475868161,,StudentBodyPres,0.3075939809,1,7550
1343591510810488833,,cryptosplashbro,0.3058080142,1,7280
1923028364178100224,,dsvfund,0.3040815798,1,7019
1152937010,,richdotca,0.3038831391,1,6989
1358929036479787008,,0xSkol,0.3038037628,1,6977
1874543704205099008,,Agent_T_A_O_S,0.3035722486,1,6942
93176471,,leomercier,0.3030232292,1,6859
1905264472643817472,,tao_dot_com,0.3007411607,1,6514
148035623,,esper1971,0.300304591,1,6448
1872106241763192832,,0xrodrigorom,0.2991337907,1,6271
1624317907810365440,,TheTNetHunter,0.2983532571,1,6153
1413356962058842118,,kenjonmiyachi,0.2977910083,1,6068
927543724632047616,,Danny_Crypton,0.2977447055,1,6061
41577241,,vaNtastiq420,0.2958132156,1,5769
567839621,,KeatlyKHZ,0.2955420133,1,5728
1603907982932131840,,LarrytheTyrant,0.2946358005,1,5591
1542399151811575809,,0xMrMarx,0.2927043107,1,5299
1372905525839601666,,3DMax_Virtuals,0.2925852462,1,5281
1889845800769036288,,0000ALCI,0.2905743801,1,4977
2954962149,,djmusicmaxx,0.2903891687,1,4949
1769287941556404224,,Module8514,0.2899922872,1,4889
950943354061185025,,FrankRizz07,0.2891456067,1,4761
1813376705316438016,,zannyABS,0.2889140925,1,4726
1702053827325968384,,taoshiio,0.2871281259,1,4456
1346819915366477825,,_g_x_g,0.286114,1,14052
3123374926,,Smudgedann,0.2816643908,1,3630
1324228834107953155,,MaxCryptoSpace,0.281618088,1,3623
1725217436,,_olaige,0.2812212065,1,3563
1536241658878390272,,minjung315,0.2802819203,1,3421
1414284118485917696,,Polkadot_ERI,0.2792698725,1,3268
1367161303895330816,,angad_ai,0.2780858428,1,3089
1532590000117886976,,rosauce39,0.2770341069,1,2930
